xcoord,ycoord
309414.505,5466528.346
309417.692,5466528.783
309437.404,5466534.171
309455.459,5466540.25
309467.884,5466543.906
309478.579,5466545.526
309485.417,5466545.422
309539.045,5466543.604
309551.901,5466542.742
309558.17617312,5466542.43082652
309564.728859705,5466538.54817919
309559.335627005,5466387.26852889
309546.156810987,5466370.79440445
309553.690884078,5466364.90413414
309558.329970478,5466364.79494845
309555.325727226,5466291.68897192
309406.533463383,5466295.91773482
309410.930395102,5466425.5452694
309416.507789322,5466425.43856752
309416.675747564,5466431.50918833
309411.099121232,5466431.63787965
309414.505,5466528.346
